Politician,Date from,Date to,Location,Details,No. of nights,Rate,Spouse,Amount,url
WONG Penny,12-Dec-10,12-Dec-10,Canberra,Minister/Office Holder ,1,233.00,,233.00,35http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/WONG_Penny.pdf20WONG Penny
BUTLER Mark,13-Dec-10,13-Dec-10,Hobart,Minister/Office Holder ,1,350.00,,350.00,57http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/BUTLER_Mark.pdf21BUTLER Mark
EVANS Christopher,13-Dec-10,13-Dec-10,Adelaide,Minister/Office Holder ,1,364.00,,364.00,19http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/EVANS_Christopher.pdf18EVANS Christopher
HOCKEY Joe,13-Dec-10,13-Dec-10,Devonport,Shadow Minister - ,1,263.00,,263.00,11http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/HOCKEY_Joe.pdf19HOCKEY Joe
BUSHBY David,14-Dec-10,15-Dec-10,Canberra,Chair of Parliamentary ,2,233.00,,466.00,20http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/BUSHBY_David.pdf21BUSHBY David
CREAN Simon,14-Dec-10,14-Dec-10,Kununurra,Minister/Office Holder ,1,345.00,10.00,355.00,29http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/CREAN_Simon.pdf24CREAN Simon
MCGAURAN Julian,14-Dec-10,14-Dec-10,Canberra,Economics (Sen/Stand),1,233.00,,233.00,27http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/MCGAURAN_Julian.pdf13MCGAURAN Julian
SMITH Stephen,14-Dec-10,14-Dec-10,Canberra,Minister/Office Holder ,1,233.00,,233.00,19http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/SMITH_Stephen.pdf22SMITH Stephen
EVANS Christopher,15-Dec-10,16-Dec-10,Sydney,Minister/Office Holder ,2,420.00,,840.00,27http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/EVANS_Christopher.pdf18EVANS Christopher
KATTER Bob,15-Dec-10,16-Dec-10,Innisfail,Electorate Business,2,245.00,,490.00,25http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/KATTER_Bob.pdf25KATTER Bob
LIVERMORE Kirsten,15-Dec-10,16-Dec-10,Broken Hill,Regional Australia ,2,245.00,,490.00,18http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/LIVERMORE_Kirsten.pdf18LIVERMORE Kirsten
MCCORMACK Michael,15-Dec-10,16-Dec-10,Broken Hill,Regional Australia ,2,245.00,,490.00,19http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/MCCORMACK_Michael.pdf15MCCORMACK Michael
SECKER Patrick,15-Dec-10,16-Dec-10,Broken Hill,Regional Australia ,2,245.00,,490.00,11http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/SECKER_Patrick.pdf19SECKER Patrick
SNOWDON Warren,15-Dec-10,15-Dec-10,Brisbane,Minister/Office Holder ,1,391.00,,391.00,59http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/SNOWDON_Warren.pdf22SNOWDON Warren
WONG Penny,15-Dec-10,15-Dec-10,Sydney,Minister/Office Holder ,1,420.00,,420.00,43http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/WONG_Penny.pdf20WONG Penny
ARBIB Mark,16-Dec-10,16-Dec-10,Melbourne,Minister/Office Holder ,1,420.00,,420.00,18http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/ARBIB_Mark.pdf19ARBIB Mark
CREAN Simon,16-Dec-10,16-Dec-10,Perth,Minister/Office Holder ,1,430.00,10.00,440.00,38http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/CREAN_Simon.pdf24CREAN Simon
DUTTON Peter,16-Dec-10,16-Dec-10,Canberra,Shadow Minister -  Official Business,1,233.00,,233.00,19http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/DUTTON_Peter.pdf20DUTTON Peter
FEENEY David,16-Dec-10,16-Dec-10,Canberra,Parliamentary Secretary ,1,233.00,,233.00,11http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/FEENEY_David.pdf21FEENEY David
GARRETT Peter,16-Dec-10,16-Dec-10,Canberra,Minister/Office Holder ,1,233.00,,233.00,19http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/GARRETT_Peter.pdf19GARRETT Peter
SCULLION Nigel,16-Dec-10,16-Dec-10,Adelaide,Shadow Minister - ,1,320.00,,320.00,49http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/SCULLION_Nigel.pdf22SCULLION Nigel
BUTLER Mark,17-Dec-10,17-Dec-10,Cairns,Minister/Office Holder ,1,345.00,,345.00,65http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/BUTLER_Mark.pdf21BUTLER Mark
SIDEBOTTOM Sid,17-Dec-10,17-Dec-10,Melbourne,Regional Australia ,1,332.00,,332.00,19http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/SIDEBOTTOM_Sid.pdf15SIDEBOTTOM Sid
ALBANESE Anthony,19-Dec-10,19-Dec-10,Darwin,Minister/Office Holder ,1,420.00,,420.00,27http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/ALBANESE_Anthony.pdf22ALBANESE Anthony
HUTCHINS Steve,19-Dec-10,19-Dec-10,Canberra,Electorate Business,1,233.00,,233.00,11http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/HUTCHINS_Steve.pdf15HUTCHINS Steve
ROXON Nicola,19-Dec-10,23-Dec-10,Canberra,Minister/Office Holder ,5,233.00,,"1,165.00",19http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/ROXON_Nicola.pdf21ROXON Nicola
SWAN Wayne,19-Dec-10,22-Dec-10,Canberra,Deputy Party Leader - ,4,233.00,,932.00,11http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/SWAN_Wayne.pdf23SWAN Wayne
WONG Penny,19-Dec-10,20-Dec-10,Canberra,Minister/Office Holder ,2,233.00,,466.00,51http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/WONG_Penny.pdf20WONG Penny
BROWN Bob,20-Dec-10,20-Dec-10,Canberra,Party Leader - Official ,1,233.00,,233.00,21http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/BROWN_Bob.pdf23BROWN Bob
COMBET Greg,20-Dec-10,20-Dec-10,Canberra,Multi-Party Climate ,1,233.00,,233.00,11http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/COMBET_Greg.pdf18COMBET Greg
CONROY Stephen,20-Dec-10,20-Dec-10,Sydney,Minister/Office Holder ,1,420.00,,420.00,19http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/CONROY_Stephen.pdf22CONROY Stephen
DREYFUS Mark,20-Dec-10,21-Dec-10,Canberra,Parliamentary Secretary ,2,233.00,,466.00,11http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/DREYFUS_Mark.pdf22DREYFUS Mark
DUTTON Peter,20-Dec-10,21-Dec-10,Sydney,Shadow Minister - ,2,360.00,,720.00,27http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/DUTTON_Peter.pdf20DUTTON Peter
