location-to,date,partygroup,count
Sydney,14/03/2014,Labor,3
Sydney,14/03/2014,Coalition,9
Melbourne,15/03/2014,Coalition,3
Sydney,15/03/2014,Labor,6
Sydney,15/03/2014,Coalition,7
Brisbane,16/03/2014,Coalition,4
Brisbane Airport,16/03/2014,Coalition,2
Melbourne,16/03/2014,Greens,3
Melbourne,16/03/2014,Labor,5
Melbourne,16/03/2014,Coalition,12
Sydney,16/03/2014,Labor,3
Sydney,16/03/2014,Coalition,8
Melbourne,17/03/2014,Coalition,2
Melbourne,17/03/2014,Labor,3
Brisbane,18/03/2014,Coalition,4
Melbourne,18/03/2014,Labor,2
Melbourne,19/03/2014,Coalition,2
Melbourne,19/03/2014,Labor,2
Sydney,19/03/2014,Labor,2
Sydney,19/03/2014,Coalition,3
Tamworth,19/03/2014,Coalition,3
Adelaide,20/03/2014,Coalition,2
Adelaide,20/03/2014,Labor,3
Brisbane,20/03/2014,Labor,6
Brisbane,20/03/2014,Coalition,17
Coolangatta,20/03/2014,Coalition,2
Melbourne,20/03/2014,Greens,2
Melbourne,20/03/2014,Coalition,18
Melbourne,20/03/2014,Labor,18
Perth,20/03/2014,Labor,3
Perth,20/03/2014,Coalition,11
Sydney,20/03/2014,Labor,8
Sydney,20/03/2014,Coalition,15
Adelaide,21/03/2014,Labor,4
Adelaide,21/03/2014,Coalition,5
Brisbane,21/03/2014,Labor,5
Brisbane,21/03/2014,Coalition,7
Broome,21/03/2014,Greens,2
Hobart,21/03/2014,Labor,2
Melbourne,21/03/2014,Greens,3
Melbourne,21/03/2014,Coalition,19
Melbourne,21/03/2014,Labor,19
Perth,21/03/2014,Greens,2
Perth,21/03/2014,Labor,4
Perth,21/03/2014,Coalition,9
Sydney,21/03/2014,AUS,2
Sydney,21/03/2014,Greens,2
Sydney,21/03/2014,Coalition,5
Sydney,21/03/2014,Labor,15
Hobart,22/03/2014,Labor,4
Melbourne,22/03/2014,Labor,4
Perth,22/03/2014,Coalition,2
Perth,22/03/2014,Labor,2
Sydney,22/03/2014,Coalition,4
Brisbane,23/03/2014,Coalition,2
Hobart,23/03/2014,Labor,2
Launceston,23/03/2014,Greens,3
Melbourne,23/03/2014,Greens,3
